threshold,treat_all,treat_none,clinical,cnv,image,cnv_image_fusion,clinical_cnv,clinical_image,clinical_cnv_image
0.33999999999999997,-0.010101010101010055,0.0,0.1355555555555556,0.042424242424242434,0.07696969696969702,0.1187878787878788,0.027878787878787947,0.08646464646464655,0.10666666666666672
0.3499999999999999,-0.02564102564102555,0.0,0.1287179487179488,0.05538461538461539,0.07435897435897446,0.11897435897435901,0.02512820512820524,0.08307692307692319,0.096923076923077
0.35999999999999993,-0.041666666666666574,0.0,0.12166666666666676,0.04208333333333334,0.07583333333333342,0.12041666666666673,0.037916666666666765,0.0875000000000001,0.09791666666666674
0.36999999999999994,-0.05820105820105814,0.0,0.11439153439153446,0.032169312169312174,0.05957671957671967,0.1190476190476191,0.03693121693121704,0.07841269841269849,0.07449735449735459
0.37999999999999995,-0.07526881720430101,0.0,0.1068817204301076,0.02924731182795699,0.05784946236559149,0.11849462365591404,0.028387096774193654,0.06817204301075278,0.07225806451612915
0.38999999999999996,-0.09289617486338791,0.0,0.09912568306010935,0.029071038251366123,0.04316939890710389,0.11693989071038258,0.045355191256830685,0.07038251366120227,0.06612021857923506
0.3999999999999999,-0.111111111111111,0.0,0.07777777777777783,0.02666666666666667,0.03333333333333341,0.10888888888888895,0.03333333333333349,0.07333333333333344,0.07777777777777789
0.4099999999999999,-0.12994350282485873,0.0,0.05615819209039555,0.013333333333333334,0.021129943502824933,0.11028248587570624,0.019435028248587616,0.07242937853107353,0.07706214689265542
0.41999999999999993,-0.14942528735632177,0.0,0.04574712643678169,0.006666666666666667,0.01563218390804605,0.07632183908045981,0.010344827586206973,0.07195402298850584,0.08160919540229894
0.42999999999999994,-0.1695906432748538,0.0,0.030409356725146247,0.006666666666666667,0.010175438596491282,0.08596491228070179,-0.015087719298245539,0.06023391812865503,0.0719298245614036
0.43999999999999995,-0.19047619047619052,0.0,0.014761904761904782,0.006666666666666667,-0.0019047619047618536,0.08619047619047622,-0.01714285714285707,0.04333333333333339,0.0671428571428572
0.4499999999999999,-0.212121212121212,0.0,0.0042424242424242975,0.0,-0.007272727272727153,0.09757575757575761,-0.018787878787878687,0.043636363636363695,0.06242424242424255
0.4599999999999999,-0.2345679012345679,0.0,-0.005185185185185154,0.0,-0.018271604938271513,0.10913580246913583,-0.02666666666666656,0.0558024691358025,0.05209876543209885
0.4699999999999999,-0.2578616352201258,0.0,-0.015723270440251513,0.0,-0.02377358490566034,0.09056603773584908,-0.02150943396226407,0.05761006289308182,0.03471698113207555
0.4799999999999999,-0.282051282051282,0.0,-0.025641025641025578,0.0,-0.023076923076922995,0.07333333333333333,-0.02820512820512816,0.05384615384615388,0.02974358974358976
