task_name,model_id,modality,encoder,model_name,aggregation_level,aggregation_strategy,n_eval,n_pos,n_neg,auc,sensitivity,specificity,accuracy,error_rate,fnr,fn_count,tp_count,report_section,from_biopsy_strategy,richness_axis,group_name,from_patient_strategy,biopsy_count_group
NextBiopsyProgression_LGD3plus,image|gigapath|set_transformer_lite,image,gigapath,set_transformer_lite,,,139,34,105,0.6988795518207283,0.7352941176470589,0.5047619047619047,0.5611510791366906,0.4388489208633094,0.2647058823529412,9,25,task3_data_richness,biopsy_max,slide_group,3plus_slides,,
NextBiopsyProgression_LGD3plus,image|gigapath|set_transformer_lite,image,gigapath,set_transformer_lite,,,229,35,194,0.6868924889543446,0.6,0.6391752577319587,0.6331877729257642,0.3668122270742358,0.4,14,21,task3_data_richness,biopsy_max,swgs_group,1_swgs,,
NextBiopsyProgression_LGD3plus,image|gigapath|set_transformer_lite,image,gigapath,set_transformer_lite,,,224,50,174,0.7039080459770115,0.7,0.5459770114942529,0.5803571428571429,0.4196428571428571,0.3,15,35,task3_data_richness,biopsy_max,swgs_group,2plus_swgs,,
NextBiopsyProgression_LGD3plus,cnv|cnv_anchor|cnv_random_forest,cnv,cnv_anchor,cnv_random_forest,,,224,34,190,0.6825077399380804,0.08823529411764706,0.9631578947368421,0.8303571428571429,0.1696428571428571,0.9117647058823529,31,3,task3_data_richness,biopsy_max,slide_group,1_slide,,
NextBiopsyProgression_LGD3plus,cnv|cnv_anchor|cnv_random_forest,cnv,cnv_anchor,cnv_random_forest,,,90,17,73,0.8831587429492345,0.4117647058823529,0.9726027397260274,0.8666666666666667,0.1333333333333333,0.5882352941176471,10,7,task3_data_richness,biopsy_max,slide_group,2_slides,,
NextBiopsyProgression_LGD3plus,cnv|cnv_anchor|cnv_random_forest,cnv,cnv_anchor,cnv_random_forest,,,139,34,105,0.7719887955182072,0.3235294117647059,0.9238095238095239,0.7769784172661871,0.2230215827338129,0.6764705882352942,23,11,task3_data_richness,biopsy_max,slide_group,3plus_slides,,
NextBiopsyProgression_LGD3plus,cnv|cnv_anchor|cnv_random_forest,cnv,cnv_anchor,cnv_random_forest,,,229,35,194,0.6858615611192932,0.08571428571428572,0.9639175257731959,0.8296943231441049,0.17030567685589515,0.9142857142857143,32,3,task3_data_richness,biopsy_max,swgs_group,1_swgs,,
NextBiopsyProgression_LGD3plus,cnv|cnv_anchor|cnv_random_forest,cnv,cnv_anchor,cnv_random_forest,,,224,50,174,0.8114942528735632,0.36,0.9425287356321839,0.8125,0.1875,0.64,32,18,task3_data_richness,biopsy_max,swgs_group,2plus_swgs,,
NextBiopsyProgression_LGD3plus,multimodal|virchow2|early_mean_mlp_timev1,multimodal,virchow2,early_mean_mlp_timev1,,,224,34,190,0.8577399380804953,0.7352941176470589,0.8210526315789474,0.8080357142857143,0.1919642857142857,0.2647058823529412,9,25,task3_data_richness,biopsy_max,slide_group,1_slide,,
NextBiopsyProgression_LGD3plus,multimodal|virchow2|early_mean_mlp_timev1,multimodal,virchow2,early_mean_mlp_timev1,,,90,17,73,0.7993553585817889,0.8235294117647058,0.6986301369863014,0.7222222222222222,0.2777777777777778,0.17647058823529413,3,14,task3_data_richness,biopsy_max,slide_group,2_slides,,
NextBiopsyProgression_LGD3plus,multimodal|virchow2|early_mean_mlp_timev1,multimodal,virchow2,early_mean_mlp_timev1,,,139,34,105,0.8310924369747898,0.8823529411764706,0.580952380952381,0.6546762589928058,0.3453237410071942,0.11764705882352941,4,30,task3_data_richness,biopsy_max,slide_group,3plus_slides,,
NextBiopsyProgression_LGD3plus,multimodal|virchow2|early_mean_mlp_timev1,multimodal,virchow2,early_mean_mlp_timev1,,,229,35,194,0.8630338733431517,0.7428571428571429,0.8247422680412371,0.8122270742358079,0.18777292576419213,0.2571428571428571,9,26,task3_data_richness,biopsy_max,swgs_group,1_swgs,,
NextBiopsyProgression_LGD3plus,multimodal|virchow2|early_mean_mlp_timev1,multimodal,virchow2,early_mean_mlp_timev1,,,224,50,174,0.8224137931034482,0.86,0.6206896551724138,0.6741071428571429,0.3258928571428571,0.14,7,43,task3_data_richness,biopsy_max,swgs_group,2plus_swgs,,
Progressor_label,image|uni2|abmil_nogate,image,uni2,abmil_nogate,,,68,5,63,0.8476190476190476,0.8,0.7301587301587301,0.7352941176470589,0.2647058823529411,0.2,1,4,task4_biopsies_per_patient,biopsy_max,,,patient_max,1
Progressor_label,image|uni2|abmil_nogate,image,uni2,abmil_nogate,,,16,3,13,0.923076923076923,1.0,0.46153846153846156,0.5625,0.4375,0.0,0,3,task4_biopsies_per_patient,biopsy_max,,,patient_max,2
Progressor_label,image|uni2|abmil_nogate,image,uni2,abmil_nogate,,,19,7,12,0.9404761904761905,1.0,0.25,0.5263157894736842,0.4736842105263158,0.0,0,7,task4_biopsies_per_patient,biopsy_max,,,patient_max,3
Progressor_label,image|uni2|abmil_nogate,image,uni2,abmil_nogate,,,13,5,8,0.875,1.0,0.25,0.5384615384615384,0.46153846153846156,0.0,0,5,task4_biopsies_per_patient,biopsy_max,,,patient_max,4
Progressor_label,image|uni2|abmil_nogate,image,uni2,abmil_nogate,,,44,18,26,0.8482905982905983,1.0,0.19230769230769232,0.5227272727272727,0.4772727272727273,0.0,0,18,task4_biopsies_per_patient,biopsy_max,,,patient_max,5plus
Progressor_label,cnv|cnv_anchor|cnv_random_forest,cnv,cnv_anchor,cnv_random_forest,,,68,5,63,0.8222222222222222,0.4,0.9523809523809523,0.9117647058823529,0.08823529411764708,0.6,3,2,task4_biopsies_per_patient,biopsy_mean,,,patient_max,1
Progressor_label,cnv|cnv_anchor|cnv_random_forest,cnv,cnv_anchor,cnv_random_forest,,,16,3,13,0.717948717948718,0.3333333333333333,0.6153846153846154,0.5625,0.4375,0.6666666666666666,2,1,task4_biopsies_per_patient,biopsy_mean,,,patient_max,2
Progressor_label,cnv|cnv_anchor|cnv_random_forest,cnv,cnv_anchor,cnv_random_forest,,,19,7,12,0.8630952380952381,0.5714285714285714,0.8333333333333334,0.7368421052631579,0.26315789473684215,0.42857142857142855,3,4,task4_biopsies_per_patient,biopsy_mean,,,patient_max,3
Progressor_label,cnv|cnv_anchor|cnv_random_forest,cnv,cnv_anchor,cnv_random_forest,,,13,5,8,0.9,1.0,0.75,0.8461538461538461,0.15384615384615385,0.0,0,5,task4_biopsies_per_patient,biopsy_mean,,,patient_max,4
Progressor_label,cnv|cnv_anchor|cnv_random_forest,cnv,cnv_anchor,cnv_random_forest,,,44,18,26,0.7777777777777778,0.7222222222222222,0.7692307692307693,0.75,0.25,0.2777777777777778,5,13,task4_biopsies_per_patient,biopsy_mean,,,patient_max,5plus
Progressor_label,multimodal|uni2|early_mean_mlp,multimodal,uni2,early_mean_mlp,,,68,5,63,0.942857142857143,0.8,0.9523809523809523,0.9411764705882353,0.05882352941176472,0.2,1,4,task4_biopsies_per_patient,biopsy_mean,,,patient_max,1
Progressor_label,multimodal|uni2|early_mean_mlp,multimodal,uni2,early_mean_mlp,,,16,3,13,0.7692307692307693,0.6666666666666666,0.6153846153846154,0.625,0.375,0.3333333333333333,1,2,task4_biopsies_per_patient,biopsy_mean,,,patient_max,2
Progressor_label,multimodal|uni2|early_mean_mlp,multimodal,uni2,early_mean_mlp,,,19,7,12,0.9166666666666667,1.0,0.75,0.8421052631578947,0.1578947368421053,0.0,0,7,task4_biopsies_per_patient,biopsy_mean,,,patient_max,3
Progressor_label,multimodal|uni2|early_mean_mlp,multimodal,uni2,early_mean_mlp,,,13,5,8,1.0,1.0,0.75,0.8461538461538461,0.15384615384615385,0.0,0,5,task4_biopsies_per_patient,biopsy_mean,,,patient_max,4
Progressor_label,multimodal|uni2|early_mean_mlp,multimodal,uni2,early_mean_mlp,,,44,18,26,0.8141025641025641,0.8333333333333334,0.5,0.6363636363636364,0.36363636363636365,0.16666666666666666,3,15,task4_biopsies_per_patient,biopsy_mean,,,patient_max,5plus
NextBiopsyProgression_LGD3plus,image|gigapath|set_transformer_lite,image,gigapath,set_transformer_lite,,,64,7,57,0.5388471177944862,0.5714285714285714,0.5964912280701754,0.59375,0.40625,0.42857142857142855,3,4,task4_biopsies_per_patient,biopsy_max,,,patient_max,1
NextBiopsyProgression_LGD3plus,image|gigapath|set_transformer_lite,image,gigapath,set_transformer_lite,,,18,8,10,0.75,0.75,0.5,0.6111111111111112,0.38888888888888884,0.25,2,6,task4_biopsies_per_patient,biopsy_max,,,patient_max,2
NextBiopsyProgression_LGD3plus,image|gigapath|set_transformer_lite,image,gigapath,set_transformer_lite,,,19,11,8,0.9090909090909091,0.9090909090909091,0.5,0.7368421052631579,0.26315789473684215,0.09090909090909091,1,10,task4_biopsies_per_patient,biopsy_max,,,patient_max,3
NextBiopsyProgression_LGD3plus,image|gigapath|set_transformer_lite,image,gigapath,set_transformer_lite,,,13,7,6,0.8333333333333334,1.0,0.16666666666666666,0.6153846153846154,0.3846153846153846,0.0,0,7,task4_biopsies_per_patient,biopsy_max,,,patient_max,4
NextBiopsyProgression_LGD3plus,image|gigapath|set_transformer_lite,image,gigapath,set_transformer_lite,,,41,18,23,0.782608695652174,0.8888888888888888,0.30434782608695654,0.5609756097560976,0.4390243902439024,0.1111111111111111,2,16,task4_biopsies_per_patient,biopsy_max,,,patient_max,5plus
NextBiopsyProgression_LGD3plus,cnv|cnv_anchor|cnv_random_forest,cnv,cnv_anchor,cnv_random_forest,,,64,7,57,0.6766917293233082,0.2857142857142857,1.0,0.921875,0.078125,0.7142857142857143,5,2,task4_biopsies_per_patient,biopsy_max,,,patient_max,1
NextBiopsyProgression_LGD3plus,cnv|cnv_anchor|cnv_random_forest,cnv,cnv_anchor,cnv_random_forest,,,18,8,10,0.8374999999999999,0.25,0.9,0.6111111111111112,0.38888888888888884,0.75,6,2,task4_biopsies_per_patient,biopsy_max,,,patient_max,2
NextBiopsyProgression_LGD3plus,cnv|cnv_anchor|cnv_random_forest,cnv,cnv_anchor,cnv_random_forest,,,19,11,8,0.7272727272727273,0.36363636363636365,0.875,0.5789473684210527,0.42105263157894735,0.6363636363636364,7,4,task4_biopsies_per_patient,biopsy_max,,,patient_max,3
NextBiopsyProgression_LGD3plus,cnv|cnv_anchor|cnv_random_forest,cnv,cnv_anchor,cnv_random_forest,,,13,7,6,0.8809523809523809,0.42857142857142855,1.0,0.6923076923076923,0.3076923076923077,0.5714285714285714,4,3,task4_biopsies_per_patient,biopsy_max,,,patient_max,4
NextBiopsyProgression_LGD3plus,cnv|cnv_anchor|cnv_random_forest,cnv,cnv_anchor,cnv_random_forest,,,41,18,23,0.7946859903381642,0.3888888888888889,0.9565217391304348,0.7073170731707317,0.29268292682926833,0.6111111111111112,11,7,task4_biopsies_per_patient,biopsy_max,,,patient_max,5plus
NextBiopsyProgression_LGD3plus,multimodal|virchow2|early_mean_mlp_timev1,multimodal,virchow2,early_mean_mlp_timev1,,,64,7,57,0.8646616541353385,0.5714285714285714,0.8947368421052632,0.859375,0.140625,0.42857142857142855,3,4,task4_biopsies_per_patient,biopsy_max,,,patient_max,1
NextBiopsyProgression_LGD3plus,multimodal|virchow2|early_mean_mlp_timev1,multimodal,virchow2,early_mean_mlp_timev1,,,18,8,10,0.875,1.0,0.3,0.6111111111111112,0.38888888888888884,0.0,0,8,task4_biopsies_per_patient,biopsy_max,,,patient_max,2
NextBiopsyProgression_LGD3plus,multimodal|virchow2|early_mean_mlp_timev1,multimodal,virchow2,early_mean_mlp_timev1,,,19,11,8,0.8409090909090909,1.0,0.125,0.631578947368421,0.368421052631579,0.0,0,11,task4_biopsies_per_patient,biopsy_max,,,patient_max,3
NextBiopsyProgression_LGD3plus,multimodal|virchow2|early_mean_mlp_timev1,multimodal,virchow2,early_mean_mlp_timev1,,,13,7,6,0.9761904761904763,1.0,0.0,0.5384615384615384,0.46153846153846156,0.0,0,7,task4_biopsies_per_patient,biopsy_max,,,patient_max,4
NextBiopsyProgression_LGD3plus,multimodal|virchow2|early_mean_mlp_timev1,multimodal,virchow2,early_mean_mlp_timev1,,,41,18,23,0.8357487922705314,0.9444444444444444,0.17391304347826086,0.5121951219512195,0.4878048780487805,0.05555555555555555,1,17,task4_biopsies_per_patient,biopsy_max,,,patient_max,5plus
